Player,Season,Age,Tm,Lg,G,MP,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,All NBA
DeMar DeRozan,2018-19,29,SAS,NBA,77,2688,77,11.5,23.9,11.3,23.0,0.1,0.8,6.6,8.0,1.0,7.4,8.4,8.6,1.6,0.7,3.6,3.2,29.7,0.481,0.4920000000000001,0.156,0.483,0.83,0.542,0
LaMarcus Aldridge,2018-19,33,SAS,NBA,81,2687,81,12.4,24.0,12.3,23.2,0.2,0.8,6.3,7.5,4.6,9.0,13.5,3.5,0.8,1.9,2.6,3.3,31.4,0.519,0.528,0.238,0.522,0.847,0.5760000000000001,0
Marc Gasol,2014-15,30,MEM,NBA,81,2687,81,10.3,20.8,10.2,20.5,0.1,0.3,6.8,8.5,2.2,10.0,12.2,6.0,1.4,2.5,3.4,4.0,27.4,0.494,0.5,0.17600000000000002,0.496,0.795,0.5579999999999999,1
Greg Monroe,2012-13,22,DET,NBA,81,2687,81,10.1,20.8,10.1,20.7,0.0,0.1,5.3,7.7,4.6,10.6,15.3,5.5,2.1,1.1,4.6,3.7,25.5,0.486,0.488,0.0,0.486,0.6890000000000001,0.527,0
Rudy Gay,2012-13,26,TOT,NBA,75,2687,74,10.4,25.1,8.7,19.9,1.7,5.2,4.8,5.9,2.0,7.2,9.2,4.0,2.3,1.1,4.0,3.6,27.3,0.416,0.44,0.32299999999999995,0.449,0.8140000000000001,0.494,0
Greivis Vásquez,2012-13,26,NOH,NBA,78,2685,78,8.8,20.4,7.2,15.5,1.7,4.9,2.5,3.1,0.9,5.9,6.8,14.2,1.3,0.1,5.0,3.8,21.9,0.433,0.462,0.342,0.474,0.805,0.502,0
Bradley Beal,2016-17,23,WAS,NBA,77,2684,77,11.7,24.3,7.6,14.1,4.1,10.1,5.2,6.3,1.0,3.4,4.4,4.9,1.5,0.4,2.9,3.1,32.7,0.482,0.5379999999999999,0.404,0.5660000000000001,0.825,0.604,0
Josh Smith,2012-13,27,ATL,NBA,76,2683,76,10.6,22.8,9.4,18.9,1.2,3.9,3.2,6.2,2.6,9.8,12.3,6.2,1.8,2.6,4.4,3.4,25.6,0.465,0.498,0.303,0.491,0.517,0.501,0
Will Barton,2017-18,27,DEN,NBA,81,2683,40,8.6,19.0,5.7,11.2,2.9,7.8,3.4,4.2,1.3,6.3,7.6,6.1,1.5,1.0,2.8,3.1,23.4,0.452,0.51,0.37,0.528,0.805,0.562,0
Pau Gasol,2014-15,34,CHI,NBA,78,2681,78,11.0,22.2,10.8,21.7,0.2,0.5,5.7,7.1,4.2,13.5,17.7,4.1,0.5,2.8,3.0,2.8,27.9,0.494,0.495,0.462,0.5,0.8029999999999999,0.55,1
J.R. Smith,2012-13,27,NYK,NBA,80,2678,0,10.5,24.9,7.4,16.2,3.1,8.7,4.7,6.2,1.3,7.2,8.5,4.4,2.0,0.5,2.7,4.5,28.9,0.422,0.458,0.35600000000000004,0.484,0.762,0.522,0
Damian Lillard,2015-16,25,POR,NBA,75,2676,75,11.5,27.5,7.3,16.1,4.3,11.4,7.7,8.7,0.8,4.8,5.6,9.6,1.2,0.5,4.5,3.1,35.1,0.419,0.45,0.375,0.4970000000000001,0.892,0.56,1
Damian Lillard,2017-18,27,POR,NBA,73,2670,73,11.6,26.4,7.3,14.6,4.2,11.7,9.2,10.0,1.2,4.9,6.1,9.0,1.4,0.5,3.8,2.2,36.6,0.439,0.501,0.361,0.519,0.9159999999999999,0.594,1
Ben McLemore,2014-15,21,SAC,NBA,82,2670,82,6.8,15.7,4.2,8.3,2.6,7.4,2.5,3.0,0.6,4.0,4.5,2.6,1.5,0.4,2.6,4.1,18.8,0.4370000000000001,0.507,0.358,0.521,0.813,0.552,0
Steven Adams,2018-19,25,OKC,NBA,80,2669,80,8.4,14.1,8.4,14.1,0.0,0.0,2.6,5.1,6.8,6.5,13.3,2.2,2.0,1.3,2.4,3.6,19.4,0.595,0.596,0.0,0.595,0.5,0.591,0
Tobias Harris,2017-18,25,TOT,NBA,80,2668,80,10.4,22.6,7.0,14.4,3.4,8.2,3.3,4.0,1.1,7.0,8.1,3.6,1.3,0.6,1.9,3.0,27.5,0.46,0.488,0.411,0.535,0.8290000000000001,0.565,0
Goran Dragić,2013-14,27,PHO,NBA,76,2668,75,10.4,20.5,8.1,14.9,2.3,5.6,5.9,7.8,1.3,3.3,4.6,8.4,2.0,0.4,4.0,3.9,29.0,0.505,0.542,0.408,0.561,0.76,0.604,1
Serge Ibaka,2013-14,24,OKC,NBA,81,2666,81,9.9,18.4,9.5,17.3,0.4,1.1,2.9,3.8,4.2,9.1,13.4,1.6,0.7,4.1,2.3,4.4,23.1,0.536,0.546,0.383,0.5479999999999999,0.784,0.5760000000000001,0
